GEOID,STATE,COUNTY,CNTY_FIPS,STUSAB,hh1_t,median_hh_income,hh1_h,hh1_ht,autos_per_hh,pct_transit_j2w,households,pct_renters,median_commute
53033022102,53,33,53033,WA,22.4148559,96767,26.83024306,49.24509896,2.018793706,7.124140456,2288,16.06110652,8.73
53033031206,53,33,53033,WA,21.96546463,62609,25.18946833,47.15493296,1.88876277,4.583266227,1762,40.22678186,12.21
53033031302,53,33,53033,WA,23.33809243,50828,24.17638025,47.51447268,1.974954184,0.389808346,1637,31.67239404,19.42
53033024400,53,33,53033,WA,18.43593021,81250,27.11902964,45.55495985,1.47372549,13.21788307,1275,55.59345157,6.33
53033024500,53,33,53033,WA,22.71517671,172333,28.95014821,51.66532492,2.272675086,6.579294162,1742,13.5445112,7.01
53033024601,53,33,53033,WA,23.71834434,162355,28.132294,51.85063834,2.244122966,6.303550393,1659,5.424528302,7.75
53033024300,53,33,53033,WA,19.07235328,106725,27.49451727,46.56687054,1.753949754,8.210705095,3861,38.61629048,6.56
53033024100,53,33,53033,WA,22.26617918,198750,30.5994777,52.86565687,2.432624113,5.92383358,1692,7.397551889,5.62
53033032002,53,33,53033,WA,24.85327343,88448,25.05800142,49.91127485,2.526699029,0.815759018,1236,17.76527331,15.53
53033032102,53,33,53033,WA,25.98978181,101065,26.03555364,52.02533545,2.347872913,5.555066171,1857,10.11470282,15.49
53033032500,53,33,53033,WA,25.31277108,98594,25.15756694,50.47033803,2.496225466,1.97408153,1987,19.47809879,16.36
53033030004,53,33,53033,WA,19.30616668,43571,24.44210913,43.74827581,1.423376623,10.76338369,3080,62.88352696,13.48
53033024902,53,33,53033,WA,22.44890291,105714,27.74442982,50.19333273,2.213549337,6.646658558,1358,18.50789096,8.75
53033026002,53,33,53033,WA,18.61442028,53320,26.69641381,45.31083409,1.646265219,11.59412045,3039,50.77165354,10.18
53033031800,53,33,53033,WA,24.95133612,108600,26.97086809,51.9222042,2.561547479,2.355393115,1706,9.368070953,13.11
53033021700,53,33,53033,WA,20.76992714,76194,26.06342984,46.83335698,1.749419954,16.08144276,3448,40.59676978,10.3
53033000401,53,33,53033,WA,16.82875083,32196,24.07386077,40.90261159,1.001411632,14.5348123,3542,68.58841779,8.7
53033000800,53,33,53033,WA,20.74926318,92917,26.53775855,47.28702173,1.870192308,17.58536318,1040,26.367713,7.3
53033000100,53,33,53033,WA,18.00745309,48002,25.21554373,43.22299682,1.306174232,22.49320184,3547,61.84109025,8.11
53033000300,53,33,53033,WA,19.37737938,65781,26.29850073,45.6758801,1.674319728,20.3347289,1176,41.29520606,8.95
53033029602,53,33,53033,WA,24.85710086,103387,27.73718581,52.59428667,2.507019438,9.083730049,1852,8.125,11.94
53033024800,53,33,53033,WA,19.52168497,77022,27.21131824,46.73300321,1.812873563,11.82835982,2175,42.47404844,7.97
53033032702,53,33,53033,WA,25.9706871,99543,25.42757703,51.39826413,2.305699482,1.814649826,2509,18.08043258,23.5
53033021100,53,33,53033,WA,20.48218298,71913,25.39206411,45.87424709,1.815671162,19.02272079,1557,43.8697318,8.67
53033007000,53,33,53033,WA,13.09767529,72218,29.29146736,42.38914264,0.991591592,30.44252106,4995,65.11242167,7.8
53033030700,53,33,53033,WA,19.1502503,39139,25.3984306,44.5486809,1.576225655,3.210168072,1489,54.72513897,12.2
53033029306,53,33,53033,WA,22.42018421,80500,27.26654348,49.68672769,2.095275591,8.782749894,1270,22.50755287,10.61
53033024602,53,33,53033,WA,23.01671126,190972,25.43114818,48.44785944,2.250974279,7.211466678,1283,5.184072126,8.26
53033025001,53,33,53033,WA,22.54947581,114100,26.872435,49.42191081,2.116304348,7.06858808,1840,16.16640337,8.24
53033024701,53,33,53033,WA,21.32674495,89500,27.11249821,48.43924316,1.9943101,9.503335459,1406,28.85638298,7.43
53033025101,53,33,53033,WA,21.07465202,83259,26.27116098,47.345813,1.94462849,7.258667043,2113,35.48680619,9.96
53033030403,53,33,53033,WA,23.42194381,76019,27.44611111,50.86805491,2.081472541,10.57185688,1657,9.320046893,13.42
53033025102,53,33,53033,WA,22.06776168,103350,26.827938,48.89569968,2.054525627,8.039865203,2751,27.09053214,10.56
53033032320,53,33,53033,WA,24.34476107,141406,27.22965973,51.5744208,2.547402597,3.522951007,1540,7.716836735,10.47
53033032602,53,33,53033,WA,25.54946439,136869,26.65939375,52.20885814,2.099730458,5.488968168,4081,11.69962335,17.2
53033032402,53,33,53033,WA,25.47561106,109830,25.59088152,51.06649258,2.285042735,4.265145341,2340,12.1594144,12.74
53033024901,53,33,53033,WA,23.00899502,133583,28.89724565,51.90624066,2.175623269,7.718749861,1805,7.397260274,7.95
53033025003,53,33,53033,WA,22.75084543,136912,27.31926928,50.07011471,2.148878577,6.882841651,2586,29.18800293,9.36
53033032010,53,33,53033,WA,24.10678352,99643,25.89823588,50.0050194,2.033777355,7.475539072,2102,19.46067416,16.62
53033007401,53,33,53033,WA,9.923085233,69130,27.30078742,37.22387266,0.779151447,30.84495056,3559,73.5026738,5.7
53033022703,53,33,53033,WA,21.40665763,108542,27.99175421,49.39841184,1.89272944,7.466083205,839,29.36681223,6.34
53033022500,53,33,53033,WA,18.85443909,103506,27.82921365,46.68365274,1.578349735,10.10085161,3963,39.67572723,6.88
53033020300,53,33,53033,WA,18.98920625,60165,25.20243217,44.19163842,1.585911784,21.87289173,3038,58.50144092,11.08
53033020200,53,33,53033,WA,21.49440391,77357,26.62214577,48.11654968,1.885485391,11.51235021,2122,26.23169108,10.93
53033029003,53,33,53033,WA,20.20006286,54864,24.96905974,45.16912261,1.840609137,10.05715541,1970,57.36111111,11.66
53033026300,53,33,53033,WA,21.20352671,52031,26.80537723,48.00890394,1.984126984,8.90777617,567,31.84713376,7.74
53033026400,53,33,53033,WA,18.57507612,45027,24.86329745,43.43837357,1.593788312,10.42520036,2447,59.47791165,8.36
53033029204,53,33,53033,WA,20.70758057,62174,26.79489075,47.50247132,1.920436187,8.34662034,2476,50.34615385,13.66
53033001100,53,33,53033,WA,19.72903969,73984,26.53068051,46.2597202,1.752995392,20.9832148,1085,27.74774775,7.01
53033001300,53,33,53033,WA,17.23436562,63077,26.64676296,43.88112858,1.421514312,18.21515487,2166,52.94871795,7.74
53033001200,53,33,53033,WA,16.68409389,42232,25.53440718,42.21850107,1.121789561,29.92077027,3621,70.68783069,7.41
53033000500,53,33,53033,WA,23.11690406,126544,27.79589722,50.91280128,2.073541167,8.124798675,1251,5.347985348,8.52
53033030308,53,33,53033,WA,21.05859612,72474,26.48591994,47.54451605,1.922942969,10.34433875,2297,44.64065708,12.87
53033003900,53,33,53033,WA,20.01211569,110556,27.91527248,47.92738817,1.859454855,10.01003404,1174,23.14662273,5.79
53033003600,53,33,53033,WA,15.88690693,65960,27.29768637,43.1845933,1.296884362,31.9895894,3338,67.82485876,7.3
53033005801,53,33,53033,WA,16.94921812,69865,26.20127805,43.15049616,1.423533779,21.82584611,2694,58.97435897,5.73
